9482 4156  14 8.571428571428571
737768 63633  37 5.73125
570594 56254  -1 5.73125
472303 69493  34 5.73125
880521 67343  67 5.73125
171236 27908  35 5.73121387283237
275179 24681  -1 5.731182795698925
882354 52992  40 5.731182795698925
903049 115307  26 5.73109243697479
125120 11653  -1 5.731034482758621
436432 63360  -1 5.730964467005077
738225 91730  -1 5.730769230769231
333916 43437  38 5.730769230769231
803918 66201  -1 5.730769230769231
342548 6519  54 5.730769230769231
161065 16241  -1 5.730593607305936
555613 1280  98 5.730593607305936
287453 21216  26 5.730555555555555
73845 811  -1 5.730538922155689
830346 67361  -1 5.730538922155689
619863 46177  59 5.73051948051948
113319 2752  87 5.730434782608696
869306 110090  52 5.730392156862745
176143 368  40 5.730337078651686
780036 60173  39 5.730337078651686
779182 102714  35 5.730337078651686
117088 25143  -1 5.730337078651686
57030 14476  -1 5.730290456431535
37376 6202  49 5.730263157894737
693793 52467  39 5.730263157894737
707464 61234  -1 5.730263157894737
85122 20407  43 5.73021582733813
485648 48115  30 5.73015873015873
919418 111486  64 5.73015873015873
893974 107708  62 5.73015873015873
911948 116491  -1 5.73015873015873
176541 3419  55 5.730103806228374
372001 32754  -1 5.730088495575221
703967 74015  47 5.730088495575221
607185 64929  53 5.730061349693251
159003 35021  34 5.73
638025 11078  68 5.73
307582 43437  38 5.73
778372 56254  -1 5.7299270072992705
514734 41802  37 5.729857819905213
325139 43714  -1 5.729838709677419
123395 5112  64 5.729824561403508
112509 20115  69 5.72972972972973
218248 39825  11 5.72972972972973
350734 36371  -1 5.72972972972973
590933 27133  -1 5.72972972972973
836818 66967  47 5.72972972972973
387851 37818  -1 5.729629629629629
8141 4455  -1 5.729629629629629
850275 28427  51 5.729559748427673
482801 36999  -1 5.729559748427673
622723 45631  55 5.729559748427673
827250 61073  -1 5.729559748427673
61107 9581  41 5.729411764705882
204162 9111  63 5.729411764705882
457962 35786  45 5.729411764705882
258108 32754  -1 5.729372937293729
321929 12268  -1 5.7293233082706765
347028 57  45 5.7293233082706765
722279 94855  51 5.7292817679558015
891768 104230  71 5.7292817679558015
444973 35545  -1 5.7292817679558015
423292 27133  -1 5.7292817679558015
146602 10985  56 5.729230769230769
27197 4049  38 5.729166666666667
784324 82707  -1 5.729166666666667
403548 43869  41 5.729064039408867
256448 16241  -1 5.7290322580645165
893409 15711  64 5.728971962616822
15889 5391  43 5.728971962616822
650444 86379  41 5.728937728937729
450632 66597  45 5.72887323943662
216078 6532  -1 5.72887323943662
842318 90600  38 5.728813559322034
727041 69192  32 5.728813559322034
492140 46177  59 5.7287234042553195
735472 61651  -1 5.728682170542636
894179 44751  42 5.728682170542636
424457 10867  81 5.728682170542636
884733 69668  46 5.728682170542636
904156 66597  45 5.728571428571429
760115 67697  49 5.728571428571429
640883 61234  -1 5.728571428571429
937159 125975  -1 5.728571428571429
505085 1717  56 5.728506787330317
343181 34192  50 5.728346456692913
539288 70514  -1 5.728260869565218
459248 64795  28 5.728260869565218
709510 811  -1 5.728205128205128
538737 811  -1 5.728205128205128
365550 43709  47 5.728155339805825
412040 33947  69 5.728155339805825
428397 45003  35 5.728155339805825
334540 37818  -1 5.728155339805825
586856 84220  -1 5.728110599078341
407616 42826  35 5.728110599078341
141654 26045  37 5.728110599078341
515949 28172  -1 5.728070175438597
906854 64670  49 5.728
952915 66524  57 5.727941176470588
19106 5473  -1 5.727941176470588
946722 14476  -1 5.727941176470588
947609 88897  -1 5.727941176470588
895609 99714  -1 5.727848101265823
683574 86379  41 5.727848101265823
447652 61348  42 5.7277936962750715
9836 4536  -1 5.727777777777778
322659 53964  60 5.727611940298507
88068 18349  47 5.7275747508305646
291729 6519  54 5.727528089887641
949357 35804  -1 5.7272727272727275
454893 68146  37 5.7272727272727275
859679 78599  31 5.7272727272727275
778376 28532  44 5.7272727272727275
684274 53690  37 5.7272727272727275
579644 16241  -1 5.7272727272727275
515619 66384  75 5.7272727272727275
726891 41675  52 5.7272727272727275
106911 3799  38 5.7272727272727275
802642 52549  -1 5.7272727272727275
566004 200  49 5.7272727272727275
160005 33652  -1 5.7272727272727275
671016 70661  -1 5.7272727272727275
271277 33000  34 5.7272727272727275
472654 67809  48 5.726851851851852
602428 76585  -1 5.72680412371134
452646 66952  -1 5.72680412371134
812050 105805  56 5.726775956284153
42438 11078  68 5.726708074534161
681072 22545  36 5.726688102893891
449098 65319  -1 5.726688102893891
42991 10643  43 5.726666666666667
711385 91298  -1 5.726666666666667
931196 100831  -1 5.726666666666667
72422 2217  -1 5.726643598615917
7318 2158  -1 5.726618705035971
497213 74533  52 5.726618705035971
133448 20941  62 5.726618705035971
94294 6630  94 5.7265625
221017 36619  43 5.726530612244898
106110 26475  40 5.726495726495727
515454 38496  53 5.726495726495727
16733 3080  -1 5.726495726495727
606941 45631  55 5.726495726495727
198937 14614  -1 5.726495726495727
17475 1792  72 5.726415094339623
710149 76585  -1 5.726315789473684
51512 11078  68 5.726315789473684
7745 327  -1 5.726315789473684
467423 53964  60 5.726256983240224
864069 60173  39 5.726256983240224
814706 811  -1 5.726256983240224
103676 18505  -1 5.726235741444867
598079 6576  66 5.726190476190476
749013 86974  53 5.726190476190476
910696 112218  55 5.726190476190476
850989 29904  -1 5.726114649681529
333378 32754  -1 5.726027397260274
832451 33361  55 5.726027397260274
808583 11854  53 5.726027397260274
509407 60174  29 5.725961538461538
650094 71244  52 5.725961538461538
915599 11854  53 5.725925925925926
30635 2634  -1 5.725925925925926
564514 63360  -1 5.725925925925926
538175 41794  41 5.725925925925926
375791 48541  35 5.725888324873097
44122 11785  -1 5.725806451612903
558873 78599  31 5.725806451612903
426109 37544  42 5.725714285714286
460444 61222  67 5.725714285714286
254409 8178  40 5.725663716814159
422542 52130  28 5.725631768953068
943655 18505  -1 5.725609756097561
760700 67697  49 5.725609756097561
482456 73412  -1 5.725609756097561
609764 70000  28 5.725581395348837
131295 3343  69 5.725563909774436
433305 30982  -1 5.7254901960784315
508634 32754  -1 5.7254901960784315
170444 11270  47 5.72543352601156
841966 98339  56 5.725388601036269
124383 20779  61 5.725352112676056
208662 15266  48 5.725274725274725
734547 45475  -1 5.725274725274725
370375 27133  -1 5.725225225225225
655018 24454  -1 5.725225225225225
17401 3981  -1 5.725225225225225
416218 40642  -1 5.7251908396946565
432214 26450  52 5.725165562913907
395281 31831  -1 5.725165562913907
801731 88729  33 5.7251461988304095
303629 43714  -1 5.725118483412322
132626 6498  60 5.725118483412322
491237 70035  46 5.725
817626 65319  -1 5.725
679534 45631  55 5.725
593679 67258  54 5.725
119250 1792  72 5.725
678075 82707  -1 5.725
772575 41794  41 5.724950884086444
254053 6624  80 5.724928366762177
31335 2879  40 5.724832214765101
132840 20941  62 5.724770642201835
35730 10673  57 5.724770642201835
713638 70661  -1 5.724719101123595
590098 83431  47 5.724719101123595
936776 101536  70 5.72463768115942
733734 15711  64 5.72463768115942
416823 45475  -1 5.72463768115942
435189 18552  61 5.72463768115942
865110 16793  45 5.72463768115942
11444 4851  -1 5.724489795918367
638682 67258  54 5.724489795918367
178614 37103  38 5.724458204334366
705389 64844  -1 5.7243589743589745
866812 63633  37 5.724324324324324
28110 9504  48 5.724299065420561
44768 6202  49 5.724137931034483
903890 12194  32 5.724137931034483
526269 4162  44 5.724137931034483
48968 11078  68 5.724137931034483
79016 7684  38 5.724137931034483
839932 6519  54 5.724137931034483
448263 7743  -1 5.724137931034483
743403 25728  -1 5.724035608308605
9183 2553  65 5.724
770061 70661  -1 5.723981900452489
550539 28532  44 5.723958333333333
75976 6532  -1 5.723905723905724
338758 6519  54 5.723880597014926
946850 35804  -1 5.723880597014926
472204 12243  47 5.723809523809524
206287 35727  41 5.723776223776224
828241 82104  55 5.723735408560311
183161 11923  40 5.723735408560311
642567 811  -1 5.723735408560311
696044 43191  -1 5.723684210526316
251959 39664  56 5.723684210526316
600869 67145  -1 5.723684210526316
555034 78114  -1 5.723684210526316
37448 6008  -1 5.723684210526316
202348 39339  41 5.723577235772358
855360 48268  45 5.723529411764706
407667 29293  -1 5.723502304147465
280462 6519  54 5.723484848484849
481893 37544  42 5.723404255319149
398415 15530  53 5.723404255319149
680112 22272  35 5.723404255319149
371703 38496  53 5.723404255319149
356606 60826  -1 5.723404255319149
279553 40370  52 5.723404255319149
97314 24016  -1 5.723404255319149
864702 15711  64 5.723404255319149
280173 21216  26 5.723404255319149
30771 10275  47 5.723404255319149
151845 10985  56 5.723342939481268
232468 16241  -1 5.723320158102767
339635 57451  34 5.723247232472325
512293 52572  41 5.723214285714286
924885 97225  68 5.723214285714286
615751 74533  52 5.72316384180791
475600 60910  49 5.72316384180791
650888 68504  76 5.723076923076923
717006 32872  59 5.723076923076923
770459 54778  -1 5.723044397463002
836789 60614  -1 5.723004694835681
462119 69589  36 5.722972972972973
886712 64844  -1 5.722972972972973
456004 40973  8 5.7229437229437226
291732 40370  52 5.72289156626506
543784 69406  33 5.7228260869565215
588212 66106  59 5.7228260869565215
793907 73564  40 5.7228260869565215
431945 1717  56 5.7227722772277225
637325 11957  -1 5.7227722772277225
756236 78483  24 5.722727272727273
641581 6534  36 5.722727272727273
124677 18349  47 5.722689075630252
903509 44877  -1 5.722689075630252
957074 115307  26 5.722689075630252
538086 67343  67 5.7226277372262775
765295 70514  -1 5.72258064516129
609401 66384  75 5.72258064516129
420857 36470  38 5.722513089005235
312860 37544  42 5.722488038277512
798098 61234  -1 5.722466960352423
68394 12231  65 5.722433460076045
8761 4162  44 5.722419928825623
277487 38407  -1 5.722408026755853
946878 98339  56 5.722222222222222
816912 48227  49 5.722222222222222
739586 67361  -1 5.722222222222222
582032 75192  37 5.722222222222222
369879 43772  32 5.722222222222222
103950 6532  -1 5.722222222222222
43308 714  47 5.722222222222222
630495 41802  37 5.722077922077922
214596 37215  65 5.722033898305085
2041 714  47 5.721991701244813
440531 58728  38 5.721951219512195
22288 2146  -1 5.721951219512195
941302 123833  -1 5.721925133689839
328360 14986  55 5.72189349112426
877773 50864  -1 5.72189349112426
717732 53690  37 5.72189349112426
674523 40642  -1 5.72189349112426
491045 71043  19 5.72189349112426
664283 80691  46 5.7218543046357615
505815 68504  76 5.7218543046357615
652033 64989  43 5.7218045112781954
62338 16790  34 5.721774193548387
583632 35274  26 5.721739130434782
908892 57447  59 5.721739130434782
593638 36403  40 5.721739130434782
476500 29293  -1 5.721739130434782
651920 65234  58 5.721698113207547
661924 56167  62 5.721649484536083
914165 120058  -1 5.721649484536083
832742 98005  -1 5.721649484536083
498349 20180  -1 5.721611721611722
657981 63806  34 5.721590909090909
788335 73452  25 5.721590909090909
415602 50864  -1 5.7214611872146115
44578 327  -1 5.7214285714285715
885423 63218  8 5.7214285714285715
64671 14043  31 5.7214285714285715
864365 35804  -1 5.7214285714285715
662185 55005  -1 5.721393034825871
798501 67361  -1 5.721311475409836
819716 63812  -1 5.721311475409836
405515 59195  -1 5.721212121212122
606971 27133  -1 5.721212121212122
444583 22046  74 5.721153846153846
570970 68426  -1 5.721153846153846
437987 46570  -1 5.721115537848606
834132 46177  59 5.72108843537415
532766 20941  62 5.72108843537415
357020 24951  60 5.721052631578948
431869 57701  49 5.721052631578948
544228 29009  -1 5.721052631578948
431625 59276  61 5.721052631578948
754327 100318  -1 5.721030042918455
799211 62357  -1 5.72093023255814
673958 54475  69 5.72093023255814
10140 4967  33 5.720812182741117
424993 66833  49 5.720779220779221
770256 86447  95 5.720779220779221
474739 30857  47 5.720779220779221
86615 9763  39 5.720689655172414
105694 8437  34 5.720588235294118
823242 53200  -1 5.720588235294118
664348 78599  31 5.720588235294118
748025 35804  -1 5.720588235294118
809759 103142  51 5.720588235294118
724099 45631  55 5.720588235294118
172523 20330  44 5.720524017467249
584658 20941  62 5.720496894409938
166098 23141  -1 5.720496894409938
504993 75159  -1 5.720496894409938
858719 69668  46 5.720430107526882
528807 63830  48 5.720430107526882
908890 120432  68 5.720338983050848
813399 16793  45 5.720238095238095
661543 66097  -1 5.72020725388601
118627 6519  54 5.72020725388601
812027 15266  48 5.72020725388601
755000 62357  -1 5.720183486238532
167264 32754  -1 5.720164609053498
178517 35021  34 5.720164609053498
167591 30857  47 5.720164609053498
632538 62787  31 5.72
20120 327  -1 5.72
794560 1024  -1 5.72
222036 37844  -1 5.72
487287 37463  46 5.72
533203 31534  59 5.72
183937 33924  47 5.719869706840391
712305 62357  -1 5.719806763285024
424017 36808  -1 5.719806763285024
689786 67343  67 5.71978021978022
501110 73250  -1 5.71978021978022
101513 21183  -1 5.719745222929936
864932 101668  -1 5.719745222929936
651673 67697  49 5.71969696969697
954216 126903  53 5.71969696969697
257184 10263  -1 5.71969696969697
24281 7067  40 5.7196652719665275
404063 22046  74 5.71957671957672
704438 32872  59 5.71957671957672
102425 10943  33 5.719557195571956
729068 811  -1 5.719512195121951
947283 53200  -1 5.719424460431655
933130 68504  76 5.719424460431655
824627 67697  49 5.719424460431655
771687 96915  41 5.71933471933472
20630 7628  51 5.719298245614035
875676 44877  -1 5.719178082191781
655331 52992  40 5.719178082191781
75586 17296  42 5.719101123595506
505485 63163  43 5.719101123595506
23308 7504  51 5.7190082644628095
211869 6532  -1 5.7190082644628095
65434 11078  68 5.718918918918919
661065 43565  60 5.718918918918919
723735 90113  54 5.71875
759386 40679  37 5.71875
500905 67697  49 5.71875
399586 28532  44 5.71875
805473 34114  55 5.71875
150538 11923  40 5.71859296482412
607216 75328  26 5.718562874251497
72278 6532  -1 5.718562874251497
843955 103004  40 5.718518518518518
778464 54431  36 5.718518518518518
144681 25350  35 5.718475073313783
472487 45475  -1 5.718367346938775
200705 6498  60 5.718354430379747
526309 65025  32 5.71830985915493
923035 101536  70 5.718232044198895
591680 80058  29 5.718181818181818
546408 80739  24 5.718120805369128
708947 61222  67 5.718085106382978
321767 40679  37 5.7180451127819545
8223 2553  65 5.7180451127819545
31098 3612  39 5.717948717948718
188230 34759  39 5.717948717948718
36822 6202  49 5.717948717948718
199349 34459  -1 5.717842323651452
714621 53690  37 5.717791411042945
476745 72796  47 5.717791411042945
881196 115307  26 5.717791411042945
388692 18552  61 5.717741935483871
510561 65234  58 5.717703349282297
445214 53572  47 5.717703349282297
241881 31005  -1 5.7176470588235295
552839 12243  47 5.717557251908397
105046 21362  42 5.717391304347826
693246 90372  47 5.717391304347826
842058 11653  -1 5.717391304347826
357312 52074  58 5.717277486910994
947563 91342  69 5.7172413793103445
770969 91342  69 5.717213114754099
344217 31133  57 5.717131474103586
835542 87808  97 5.717105263157895
617015 80058  29 5.716981132075472
13974 6008  -1 5.716981132075472
344068 52549  -1 5.716981132075472
682623 44877  -1 5.716981132075472
333417 49652  58 5.716981132075472
75399 16126  51 5.716763005780347
116793 10263  -1 5.716738197424893
889856 117048  24 5.716666666666667
441811 52130  28 5.716666666666667
757485 97954  -1 5.716666666666667
173588 31938  -1 5.716621253405995
46517 2830  -1 5.716599190283401
803364 76843  -1 5.716535433070866
321699 47249  50 5.716475095785441
51128 2634  -1 5.7164179104477615
315750 35786  45 5.7164179104477615
29756 1280  98 5.7164179104477615
651179 67361  -1 5.7164179104477615
447773 11854  53 5.716374269005848
902459 115307  26 5.716346153846154
499236 25728  -1 5.716312056737588
685073 28532  44 5.716312056737588
450791 40370  52 5.716216216216216
36833 2223  44 5.716216216216216
711546 92643  28 5.716216216216216
747137 100831  -1 5.716129032258064
619850 74273  35 5.71608832807571
77126 17185  61 5.715909090909091
858037 115187  44 5.715909090909091
11555 5266  50 5.715736040609137
258121 24413  -1 5.7157190635451505
682841 22272  35 5.715686274509804
445852 1128  -1 5.7156398104265405
829411 36981  -1 5.715596330275229
942836 36215  21 5.7155172413793105
416940 64623  -1 5.7155172413793105
55333 12231  65 5.715447154471545
370249 44219  26 5.715415019762846
271231 37252  55 5.7153284671532845
33597 8229  -1 5.7153284671532845
786617 82707  -1 5.715277777777778
433172 48451  -1 5.715277777777778
365370 57636  18 5.71523178807947
461199 64844  -1 5.715189873417722
854024 111123  45 5.715151515151515
628008 67343  67 5.715116279069767
485136 54778  -1 5.715083798882682
123002 10985  56 5.71505376344086
694423 42135  60 5.715025906735751
602100 61654  44 5.715
115159 14763  -1 5.714975845410628
511258 64795  28 5.714975845410628
563499 9648  39 5.714932126696833
828756 98647  -1 5.714876033057851
437850 29748  49 5.71484375
314677 14476  -1 5.714828897338403
313552 14614  -1 5.714828897338403
118741 18485  54 5.714714714714715
662215 86379  41 5.714285714285714
51580 14476  -1 5.714285714285714
482612 53964  60 5.714285714285714
403376 55961  28 5.714285714285714
599912 30982  -1 5.714285714285714
368628 53572  47 5.714285714285714
724950 51269  63 5.714285714285714
123027 24065  -1 5.714285714285714
206517 6498  60 5.714285714285714
180487 31399  -1 5.714285714285714
291537 40797  -1 5.714285714285714
690891 16241  -1 5.714285714285714
728883 87808  97 5.714285714285714
341674 38496  53 5.714285714285714
545447 52130  28 5.714285714285714
744338 61234  -1 5.714285714285714
943971 75699  46 5.714285714285714
533633 66952  -1 5.714285714285714
617445 86379  41 5.714285714285714
269251 15266  48 5.714285714285714
262926 47377  42 5.713793103448276
387393 48228  62 (passed away March 9th, 2013) 5.713709677419355
556885 36999  -1 5.713636363636364
274939 37215  65 5.713603818615752
267213 16241  -1 5.713592233009709
107386 22392  44 5.71356783919598
127906 26733  -1 5.713541666666667
109144 22046  74 5.713541666666667
477488 65025  32 5.713483146067416
928321 57447  59 5.713483146067416
680600 67343  67 5.713450292397661
400761 6576  66 5.713414634146342
345562 59926  43 5.713355048859935
864128 98339  56 5.713333333333333
452585 7743  -1 5.713333333333333
756952 87808  97 5.713333333333333
718971 67697  49 5.713333333333333
566885 64670  49 5.713333333333333
450848 42826  35 5.713310580204778
27388 6630  94 5.713286713286713
700367 67361  -1 5.713286713286713
275023 37581  44 5.71326164874552
602267 70661  -1 5.713235294117647
865162 73564  40 5.713235294117647
324528 51799  -1 5.713178294573644
817829 16793  45 5.713114754098361
518411 69604  34 5.712962962962963
457420 71881  33 5.712918660287081
432267 14476  -1 5.712765957446808
704592 23073  48 5.712765957446808
328492 14620  45 5.712765957446808
52743 12268  -1 5.712707182320442
328324 31230  -1 5.712707182320442
65842 2752  87 5.712707182320442
401120 43437  38 5.712643678160919
110341 16363  43 5.712643678160919
830967 107135  49 5.712643678160919
344375 14837  -1 5.712643678160919
627508 66097  -1 5.712643678160919
342947 59891  -1 5.71259842519685
414476 38496  53 5.712550607287449
475329 6498  60 5.7125
910840 50864  -1 5.7125
570231 76880  74 5.7125
563250 64929  53 5.712418300653595
944382 101668  -1 5.712418300653595
876122 43463  -1 5.712418300653595
716652 3214  61 5.712418300653595
32832 2752  87 5.712389380530974
365394 60174  29 5.712374581939799
415432 18349  47 5.712328767123288
523184 57  45 5.712264150943396
19729 7800  48 5.712264150943396
323158 18339  45 5.712230215827338
640614 69368  51 5.712230215827338
114255 20115  69 5.712230215827338
294922 44289  -1 5.712195121951219
837 674  -1 5.712195121951219
106754 25017  53 5.712177121771218
231241 37444  66 5.712121212121212
93980 10593  -1 5.712121212121212
817415 62357  -1 5.712121212121212
885161 54265  -1 5.712
636386 89041  35 5.711934156378601
383309 14476  -1 5.711934156378601
634191 25143  -1 5.711864406779661
897140 109227  -1 5.711864406779661
694906 72695  25 5.711864406779661
134172 13728  66 5.711790393013101
555238 78599  31 5.711790393013101
291568 47852  -1 5.711764705882353
467444 39429  61 5.711764705882353
740121 11854  53 5.711764705882353
335058 41185  -1 5.711711711711712
482425 64929  53 5.711656441717792
905360 73564  40 5.711656441717792
818721 77672  29 5.711538461538462
494805 1717  56 5.711538461538462
20550 3669  50 5.711538461538462
643900 36999  -1 5.711538461538462
674900 4967  33 5.711538461538462
506140 59276  61 5.711538461538462
710288 73564  40 5.711442786069652
251402 35786  45 5.711442786069652
356901 37252  55 5.711442786069652
249078 15711  64 5.7114093959731544
543135 714  47 5.7114093959731544
637894 25350  35 5.711340206185567
930703 61315  -1 5.711340206185567
312774 46725  55 5.711340206185567
930770 44877  -1 5.711340206185567
846149 98647  -1 5.711267605633803
274850 25728  -1 5.7111913357400725
451111 14986  55 5.7111716621253406
318920 35804  -1 5.711111111111111
900780 100831  -1 5.711111111111111
619674 69069  44 5.711111111111111
490253 3735  62 5.711111111111111
612607 78149  35 5.710982658959537
900878 105805  56 5.7109375
4116 142  -1 5.7109375
162958 2223  44 5.710900473933649
369453 43936  44 5.710843373493976
828847 102680  28 5.710843373493976
552683 65234  58 5.71078431372549
19462 7969  49 5.71078431372549
434252 45475  -1 5.71078431372549
731857 29729  48 5.71078431372549
799149 65319  -1 5.710743801652892
903453 109227  -1 5.710743801652892
735366 86447  95 5.710743801652892
245604 20662  -1 5.710714285714285
178054 20395  36 5.710691823899371
288870 6912  38 5.710659898477157
337673 6912  38 5.7106382978723405
722480 62357  -1 5.7105263157894735
134572 24951  60 5.7105263157894735
52116 12268  -1 5.7105263157894735
232087 36981  -1 5.710424710424711
889382 113419  -1 5.7103825136612025
701327 64670  49 5.710344827586207
701260 52992  40 5.710344827586207
412006 34192  50 5.710280373831775
916390 67343  67 5.7102272727272725
788224 43774  51 5.7102272727272725
117028 11078  68 5.7102272727272725
311888 44534  -1 5.7102272727272725
852652 43774  51 5.7102272727272725
3824 2752  87 5.710204081632653
191174 33947  69 5.7101449275362315
149268 14773  36 5.7101449275362315
801865 65234  58 5.7101449275362315
684489 94180  34 5.7101449275362315
889088 67343  67 5.710059171597633
518914 9643  -1 5.71
211785 20530  49 5.70995670995671
25327 7504  51 5.709923664122138
884071 48389  37 5.709923664122138
30195 327  -1 5.709923664122138
887323 34082  48 5.709923664122138
72325 1519  44 5.709876543209877
61795 1280  98 5.709876543209877
343510 58290  44 5.709876543209877
107941 16790  34 5.709844559585492
913598 110608  -1 5.709844559585492
848568 44751  42 5.709803921568628
451156 51385  49 5.709770114942529
954141 103142  51 5.709677419354839
91150 15891  -1 5.709677419354839
909665 100831  -1 5.709677419354839
338331 13084  -1 5.709677419354839
736128 95004  -1 5.709677419354839
429248 35545  -1 5.70952380952381
673178 86379  41 5.709497206703911
892575 67361  -1 5.709497206703911
695942 15711  64 5.70945945945946
22773 7711  40 5.7094017094017095
518956 31534  59 5.70935960591133
237104 15711  64 5.70935960591133
458603 43774  51 5.709302325581396
956119 132996  26 5.709302325581396
380530 48389  37 5.709251101321586
32683 2792  33 5.709251101321586
787000 96915  41 5.709219858156028
452216 22046  74 5.709219858156028
353753 18339  45 5.709183673469388
386729 64571  46 5.709163346613546
611693 46177  59 5.709090909090909
899621 109284  34 5.709090909090909
382077 20102  35 5.709090909090909
900178 100831  -1 5.709090909090909
116926 1792  72 5.709016393442623
817524 63218  8 5.708955223880597
885696 33361  55 5.708955223880597
932507 11854  53 5.708955223880597
454124 69839  44 5.70893371757925
472464 15266  48 5.708860759493671
934217 66384  75 5.708791208791209
303423 53808  -1 5.708771929824562
162521 12571  48 5.70873786407767
785846 98647  -1 5.70873786407767
886189 117809  -1 5.708695652173913
50262 12061  34 5.708695652173913
698114 65234  58 5.708609271523179
546272 73685  34 5.708609271523179
285894 2217  -1 5.708542713567839
805441 85102  24 5.708542713567839
1024 714  47 5.708542713567839
298540 44534  -1 5.708474576271186
7019 2158  -1 5.70846394984326
633905 16793  45 5.708333333333333
903118 61315  -1 5.708333333333333
485522 67697  49 5.708333333333333
19124 3015  -1 5.708333333333333
740204 92847  64 5.708333333333333
957335 62727  51 5.708333333333333
916779 113634  40 5.708333333333333
550215 27133  -1 5.708333333333333
146854 31938  -1 5.708206686930091
371608 17990  35 5.708154506437769
682580 64844  -1 5.708074534161491
761130 83845  44 5.708074534161491
805149 46177  59 5.708029197080292
817113 56254  -1 5.708029197080292
191486 7628  51 5.708029197080292
546189 42826  35 5.707964601769912
48888 10673  57 5.707964601769912
786036 52549  -1 5.707964601769912
17474 1570  -1 5.707964601769912
265268 42132  -1 5.707920792079208
107518 3799  38 5.707903780068729
8845 1128  -1 5.707865168539326
519908 30857  47 5.707792207792208
667832 13207  41 5.707792207792208
536706 76941  33 5.707692307692308
420919 10263  -1 5.707692307692308
482028 200  49 5.707692307692308
417649 32754  -1 5.707692307692308
261122 23680  61 5.707581227436823
102806 16385  -1 5.7075471698113205
21503 7504  51 5.7075471698113205
311347 3308  43 5.707446808510638
497124 60340  47 5.707407407407407
495741 30982  -1 5.7073170731707314
776025 75585  -1 5.7073170731707314
958184 101668  -1 5.7073170731707314
4313 3173  -1 5.7072243346007605
682182 68504  76 5.707182320441989
865114 76843  -1 5.707142857142857
686419 91405  29 5.707142857142857
677182 57851  31 5.707070707070707
731072 9763  39 5.707070707070707
128982 7684  38 5.707070707070707
172714 9083  47 5.706896551724138
18034 6565  -1 5.706896551724138
768081 43774  51 5.706896551724138
803591 71244  52 5.706896551724138
123303 23141  -1 5.706896551724138
169979 1570  -1 5.706896551724138
170149 6576  66 5.706827309236948
287975 40370  52 5.706806282722513
661429 42135  60 5.706806282722513
784781 92733  -1 5.706766917293233
793534 94265  31 5.706766917293233
499343 32872  59 5.706766917293233
712316 43191  -1 5.706730769230769
440517 61971  36 5.706730769230769
724184 61315  -1 5.706730769230769
863892 102095  38 5.706666666666667
19897 6202  49 5.706666666666667
433327 36199  62 5.706666666666667
285690 14620  45 5.706611570247934
704224 28532  44 5.706586826347305
570120 16241  -1 5.706586826347305
319735 54731  38 5.706563706563706
7203 2792  33 5.706521739130435
561364 57851  31 5.706293706293707
831605 103142  51 5.706293706293707
273217 18450  -1 5.706270627062707
729348 63806  34 5.70625
685426 36403  40 5.706161137440758
561433 60396  53 5.705882352941177
518010 66106  59 5.705882352941177
313334 43437  38 5.705882352941177
523658 28172  -1 5.705882352941177
427556 43714  -1 5.705882352941177
832581 67343  67 5.705882352941177
495864 73250  -1 5.705882352941177
654414 27133  -1 5.705627705627705
784383 61222  67 5.705607476635514
364635 42638  50 5.705607476635514
926864 111999  35 5.7055837563451774
776257 57886  -1 5.705555555555556
96919 14614  -1 5.705555555555556
255124 45755  37 5.705521472392638
263592 33947  69 5.705454545454545
906187 33769  36 5.705426356589148
334979 48228  62 (passed away March 9th, 2013) 5.705357142857143
504265 42638  50 5.705357142857143
602307 15711  64 5.705357142857143
504222 62787  31 5.705314009661835
793965 67697  49 5.705263157894737
66141 8367  -1 5.705263157894737
627734 36999  -1 5.705202312138728
18041 2634  -1 5.705128205128205
825030 15711  64 5.705035971223022
432212 40386  -1 5.705035971223022
952407 114285  -1 5.705035971223022
135602 26475  40 5.705014749262537
654111 14476  -1 5.705
311571 43936  44 5.705
253640 39664  56 5.705
436165 40106  30 5.704980842911877
24799 9262  43 5.704918032786885
593741 52572  41 5.704918032786885
96333 6202  49 5.704918032786885
889019 109227  -1 5.704918032786885
889729 61222  67 5.704918032786885
825395 101668  -1 5.704918032786885
405788 27908  35 5.704918032786885
62918 8367  -1 5.704918032786885
912611 43463  -1 5.704918032786885
578643 16793  45 5.704918032786885
532988 41047  40 5.704697986577181
159743 17072  43 5.704663212435233
254417 35804  -1 5.704663212435233
720174 91614  24 5.704663212435233
907582 86447  95 5.704545454545454
175603 2158  -1 5.704545454545454
615787 60910  49 5.704545454545454
785555 66384  75 5.704545454545454
729361 3214  61 5.70440251572327
17736 327  -1 5.7043478260869565
140239 20330  44 5.704225352112676
23060 8480  -1 5.704225352112676
458756 29156  56 5.704142011834319
733756 72136  42 5.704142011834319
205443 19503  -1 5.7040358744394615
885037 99714  -1 5.704
915128 86447  95 5.704
706397 74015  47 5.704
899003 32754  -1 5.704
652907 41675  52 5.703947368421052
949703 125389  -1 5.70391061452514
503750 11653  -1 5.70391061452514
1097 661  -1 5.703883495145631
509338 65234  58 5.703883495145631
387669 57701  49 5.703846153846154
906186 61234  -1 5.703703703703703
515629 66384  75 5.703703703703703
423809 35804  -1 5.703703703703703
262814 18485  54 5.703703703703703
